participant_id,task,completed,confusion,useful_element,misinterpretation,suggested_change
P01,Product Profile,Yes,Did not understand what 67% DATA COVERAGE means.,Percentages and the product composition overview.,No misinterpretation reported,No suggested change reported
P01,Compare Products,Yes,"Did not understand ingredient overlap, position-weighted similarity, function similarity, or why low ingredient similarity can coexist with high function similarity.",Percentages and the summary of similarities and differences.,No misinterpretation reported,No suggested change reported
P01,Similar Products,Yes,"Could understand the ranking generally from the percentages, but not what each percentage specifically means or how the scores relate to each other.",Percentage scores and descending Top-5 ranking.,No misinterpretation reported,No suggested change reported
P02,Product Profile,Yes,"The site has little introductory guidance, and ingredient names, function groups, and mapped function profile percentages are difficult to understand without skincare ingredient knowledge.",Product composition information and formula details.,Mapped function profile percentages could be interpreted as ingredient concentration percentages.,Explain function groups and show which ingredients contribute to each group. Add clearer site-level guidance.
P02,Compare Products,Yes,"The three similarity metrics and their relationship were difficult to understand. Terms such as normalized ingredients, function pattern, mapped function profile, and largest profile differences felt too technical.",FORMULA DETAIL / Where they differ was useful.,Function-profile percentages could be interpreted as ingredient concentrations; shared function groups and key differences could appear contradictory without explanation.,"Use simpler user-facing language, show ingredients under their function groups, and make differences more visual."
P02,Similar Products,Yes,The meaning and calculation of the similarity percentages were not clear.,The Top-5 similar-products ranking was very useful.,No misinterpretation reported,Explain the scores more directly and consider placing Similar Products earlier in the site flow.
P03,Product Profile,Yes,"The mapped function profile is a 100% composition, but the current chart does not make that structure immediately clear.",Mapped function profile and ingredient list.,No misinterpretation reported,"Use a composition-oriented visualization such as a pie or stacked chart, and remove numeric labels from ingredient chips."
P03,Compare Products,Yes,The comparison page is more complicated and the narrative descriptions make differences harder to scan quickly.,The ability to compare ingredient and function differences between two products.,No misinterpretation reported,"Use more visual comparison, such as aligned bars for ingredients or function groups, instead of relying mainly on narrative text."
P03,Similar Products,Yes,Wanted a clearer explanation of ingredient similarity versus function similarity and why ingredient/formula similarity is used for ranking.,Similar Products was the easiest page to use and understand.,No misinterpretation reported,Explain ingredient versus function similarity and the ranking choice more clearly.
