ingredient_id,canonical_name,observed_raw_variants,normalization_methods,normalizer_version
72,c12-14 pareth-12,C12-14 Pareth-12,case_whitespace,v5
73,c12-15 alkyl benzoate,C12-15 Alkyl Benzoate | c12-15 alkyl benzoate,case_whitespace,v5
74,c12-16 alcohols,C12-16 Alcohols,case_whitespace,v5
75,c13-14 isoalkane,C13-14 Isoalkane,case_whitespace,v5
76,c13-14 isoparaffin,C13-14 Isoparaffin,case_whitespace,v5
77,c14-22 alcohols,C14-22 Alcohols,case_whitespace,v5
78,c15-19 alkane,C15-19 Alkane,case_whitespace,v5
79,c9-12 alkane,c9-12 alkane,case_whitespace,v5
80,caffeine,CAFFEINE | Caffeine,case_whitespace,v5
81,calcium gluconate,Calcium Gluconate,case_whitespace,v5
82,calendula officinalis flower extract,Calendula Officinalis Flower Extract,case_whitespace,v5
83,camellia sinensis leaf extract,CAMELLIA SINENSIS LEAF EXTRACT | Camellia Sinensis Leaf Extract,case_whitespace,v5
84,caprooyl phytosphingosine,Caprooyl Phytosphingosine,case_whitespace,v5
85,caprooyl sphingosine,Caprooyl Sphingosine,case_whitespace,v5
86,caprylhydroxamic acid,Caprylhydroxamic Acid,case_whitespace,v5
87,caprylic/ capric/myristic/stearic triglyceride,Caprylic/ Capric/Myristic/Stearic Triglyceride,case_whitespace,v5
88,caprylic/capric triglyceride,CAPRYLIC/CAPRIC TRIGLYCERIDE | Caprylic/Capric Triglyceride | caprylic/capric triglyceride,case_whitespace,v5
89,capryloyl glycine,CAPRYLOYL GLYCINE,case_whitespace,v5
90,caprylyl caprylate/caprate,Caprylyl Caprylate/Caprate,case_whitespace,v5
91,caprylyl glycol,CAPRYLYL GLYCOL | Caprylyl Glycol | caprylyl glycol,case_whitespace,v5
92,caramel,CARAMEL,case_whitespace,v5
93,carbomer,CARBOMER | Carbomer | carbomer,case_whitespace,v5
94,carnosine,carnosine,case_whitespace,v5
95,caryodendron orinocense seed oil,Caryodendron Orinocense Seed Oil,case_whitespace,v5
96,castor oil/ipdi copolymer,castor oil/ipdi copolymer,case_whitespace,v5
97,cedrus atlantica bark oil,Cedrus Atlantica Bark Oil,case_whitespace,v5
98,cellulose gum,Cellulose Gum | cellulose gum,case_whitespace,v5
