ingredient_id,canonical_name,observed_raw_variants,normalization_methods,normalizer_version
328,nymphaea alba root extract,Nymphaea Alba Root Extract,case_whitespace,v5
329,o-cymen-5-ol,O-Cymen-5-Ol,case_whitespace,v5
330,octyldodecanol,OCTYLDODECANOL | Octyldodecanol,case_whitespace,v5
331,octyldodecyl myristate,octyldodecyl myristate,case_whitespace,v5
332,octyldodecyl neopentanoate,Octyldodecyl Neopentanoate,case_whitespace,v5
333,oenothera biennis (evening primrose) oil,Oenothera Biennis (Evening Primrose) Oil,case_whitespace,v5
334,olea europaea (olive) leaf extract,Olea Europaea (Olive) Leaf Extract,case_whitespace,v5
335,oleic acid,Oleic Acid,case_whitespace,v5
336,oleth-10,Oleth-10,case_whitespace,v5
337,olus oil/vegetable oil/huile végétale,Olus Oil/Vegetable Oil/Huile végétale,case_whitespace,v5
338,ophiopogon japonicus root extract,Ophiopogon Japonicus Root Extract,case_whitespace,v5
339,oryza sativa (rice) bran extract,Oryza Sativa (Rice) Bran Extract,case_whitespace,v5
340,palmitic acid,PALMITIC ACID | Palmitic Acid | palmitic acid,case_whitespace,v5
341,palmitoyl dipeptide-7,Palmitoyl Dipeptide-7,case_whitespace,v5
342,palmitoyl heptapeptide-27,Palmitoyl Heptapeptide-27,case_whitespace,v5
343,palmitoyl hexapeptide-12,palmitoyl hexapeptide-12,case_whitespace,v5
344,palmitoyl octapeptide-24,Palmitoyl Octapeptide-24,case_whitespace,v5
345,palmitoyl oligopeptide-78,Palmitoyl Oligopeptide-78,case_whitespace,v5
346,palmitoyl pentapeptide-4,Palmitoyl Pentapeptide-4,case_whitespace,v5
347,palmitoyl tetrapeptide-7,PALMITOYL TETRAPEPTIDE-7 | Palmitoyl Tetrapeptide-7,case_whitespace,v5
348,palmitoyl tripeptide-1,PALMITOYL TRIPEPTIDE-1 | Palmitoyl Tripeptide-1,case_whitespace,v5
349,palmitoyl tripeptide-5,Palmitoyl Tripeptide-5,case_whitespace,v5
350,panax ginseng root extract,PANAX GINSENG ROOT EXTRACT,case_whitespace,v5
351,panthenol,PANTHENOL | Panthenol,case_whitespace,v5
352,pantolactone,Pantolactone,case_whitespace,v5
353,paraffin,Paraffin,case_whitespace,v5
354,pca,PCA | Pca,case_whitespace,v5
355,peg-10 phytosterol,peg-10 phytosterol,case_whitespace,v5
356,peg-100 stearate,PEG-100 STEARATE | PEG-100 Stearate | Peg-100 Stearate | peg-100 stearate,case_whitespace,v5
357,peg-12 dimethicone,peg-12 dimethicone,case_whitespace,v5
358,peg-150,Peg-150,case_whitespace,v5
359,peg-3 dimethicone,peg-3 dimethicone,case_whitespace,v5
360,peg-40 hydrogenated castor oil,Peg-40 Hydrogenated Castor Oil,case_whitespace,v5
361,peg-60 glyceryl isostearate,Peg-60 Glyceryl Isostearate,case_whitespace,v5
362,peg/ppg-14/7 dimethyl ether,PEG/PPG-14/7 DIMETHYL ETHER,case_whitespace,v5
363,peg/ppg-17/4 dimethyl ether,PEG/PPG-17/4 DIMETHYL ETHER,case_whitespace,v5
364,peg/ppg/polybutylene glycol-8/5/3 glycerin,PEG/PPG/polybutylene glycol-8/5/3 glycerin | Peg/Ppg/Polybutylene Glycol-8/5/3 Glycerin,case_whitespace,v5
365,pelargonium graveolens flower oil,Pelargonium Graveolens Flower Oil,case_whitespace,v5
366,pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate,PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE,case_whitespace,v5
367,pentaerythrityl tetraethylhexanoate,PENTAERYTHRITYL TETRAETHYLHEXANOATE | Pentaerythrityl Tetraethylhexanoate,case_whitespace,v5
368,pentaerythrityl tetraisostearate,Pentaerythrityl Tetraisostearate,case_whitespace,v5
369,pentylene glycol,PENTYLENE GLYCOL | Pentylene Glycol | pentylene glycol,case_whitespace,v5
370,petrolatum,PETROLATUM | Petrolatum,case_whitespace,v5
371,phenethyl alcohol,Phenethyl Alcohol,case_whitespace,v5
372,phenoxyethanol,PHENOXYETHANOL | Phenoxyethanol | phenoxyethanol,case_whitespace,v5
373,phenyl trimethicone,Phenyl Trimethicone,case_whitespace,v5
374,phenylalanine,Phenylalanine,case_whitespace,v5
375,phenylpropanol,Phenylpropanol,case_whitespace,v5
376,phospholipids,phospholipids,case_whitespace,v5
377,phytosphingosine,PHYTOSPHINGOSINE | Phytosphingosine,case_whitespace,v5
378,phytosterols,Phytosterols | phytosterols,case_whitespace,v5
379,phytosteryl canola glycerides,Phytosteryl Canola Glycerides,case_whitespace,v5
380,phytosteryl macadamiate,Phytosteryl Macadamiate | phytosteryl macadamiate,case_whitespace,v5
381,phytosteryl sunflowerseedate,Phytosteryl Sunflowerseedate,case_whitespace,v5
382,phytosteryl/octyldodecyl lauroyl glutamate,PHYTOSTERYL/OCTYLDODECYL LAUROYL GLUTAMATE,case_whitespace,v5
383,pinene,Pinene,case_whitespace,v5
384,polyacrylamide,Polyacrylamide,case_whitespace,v5
385,polyacrylate crosspolymer-11,polyacrylate crosspolymer-11,case_whitespace,v5
386,polyacrylate crosspolymer-6,Polyacrylate Crosspolymer-6,case_whitespace,v5
387,polyacrylate-13,POLYACRYLATE-13,case_whitespace,v5
388,polyethylene,POLYETHYLENE,case_whitespace,v5
389,polyglycerin-3,Polyglycerin-3,case_whitespace,v5
390,polyglyceryl-10 oleate,Polyglyceryl-10 Oleate,case_whitespace,v5
391,polyglyceryl-10 stearate,Polyglyceryl-10 Stearate,case_whitespace,v5
392,polyglyceryl-2 stearate,polyglyceryl-2 stearate,case_whitespace,v5
393,polyglyceryl-3 diisostearate,POLYGLYCERYL-3 DIISOSTEARATE,case_whitespace,v5
394,polyglyceryl-3 methylglucose distearate,Polyglyceryl-3 Methylglucose Distearate,case_whitespace,v5
395,polyglyceryl-4 isostearate,POLYGLYCERYL-4 ISOSTEARATE | Polyglyceryl-4 Isostearate,case_whitespace,v5
396,polyglyceryl-6 laurate,Polyglyceryl-6 Laurate,case_whitespace,v5
397,polygonum cuspidatum root extract,Polygonum Cuspidatum Root Extract,case_whitespace,v5
398,polyisobutene,POLYISOBUTENE,case_whitespace,v5
399,polym nia sonchifolia root juice,POLYM NIA SONCHIFOLIA ROOT JUICE,case_whitespace,v5
400,polymethylsilsesquioxane,POLYMETHYLSILSESQUIOXANE | Polymethylsilsesquioxane,case_whitespace,v5
401,polyquaternium-51,Polyquaternium-51 | polyquaternium-51,case_whitespace,v5
402,polysilicone-11,Polysilicone-11,case_whitespace,v5
403,polysorbate 20,POLYSORBATE 20 | Polysorbate 20,case_whitespace,v5
404,polysorbate 60,POLYSORBATE 60 | Polysorbate 60 | polysorbate 60,case_whitespace,v5
405,polysorbate 80,Polysorbate 80,case_whitespace,v5
406,polyvinyl alcohol,Polyvinyl Alcohol,case_whitespace,v5
407,potassium cetyl phosphate,POTASSIUM CETYL PHOSPHATE | Potassium Cetyl Phosphate,case_whitespace,v5
408,potassium hydroxide,POTASSIUM HYDROXIDE,case_whitespace,v5
409,potassium phosphate,POTASSIUM PHOSPHATE,case_whitespace,v5
410,potassium sorbate,Potassium Sorbate | potassium sorbate,case_whitespace,v5
411,ppg-3 dipivalate,PPG-3 DIPIVALATE,case_whitespace,v5
412,proline,Proline,case_whitespace,v5
413,propanediol,PROPANEDIOL | Propanediol,case_whitespace,v5
414,propylene carbonate,PROPYLENE CARBONATE,case_whitespace,v5
415,propylene glycol,Propylene Glycol,case_whitespace,v5
416,propylene glycol dicaprate,Propylene Glycol Dicaprate,case_whitespace,v5
417,propylparaben,Propylparaben,case_whitespace,v5
418,prunus amygdalus dulcis (sweet almond) seed meal,Prunus Amygdalus Dulcis (Sweet Almond) Seed Meal,case_whitespace,v5
419,prunus avium (sweet cherry) fruit extract,Prunus Avium (Sweet Cherry) Fruit Extract,case_whitespace,v5
420,pseudoalteromonas ferment extract,PSEUDOALTEROMONAS FERMENT EXTRACT,case_whitespace,v5
421,pyrola incarnata extract,PYROLA INCARNATA EXTRACT,case_whitespace,v5
422,pyrus malus (apple) seed extract,Pyrus Malus (Apple) Seed Extract,case_whitespace,v5
423,red 33 (ci 17200),Red 33 (Ci 17200),case_whitespace,v5
424,red 4 (ci 14700),Red 4 (Ci 14700),case_whitespace,v5
425,rhamnose,Rhamnose,case_whitespace,v5
426,rosa mosqueta (rose) hip oil,Rosa Mosqueta (Rose) Hip Oil,case_whitespace,v5
427,rosmarinus officinalis (rosemary) leaf extract,ROSMARINUS OFFICINALIS (ROSEMARY) LEAF EXTRACT (ROSMARINUS OFFICINALIS LEAF EXTRACT) | Rosmarinus Officinalis (Rosemary) Leaf Extract,alias | case_whitespace,v5
428,rosmarinus officinalis (rosemary) leaf oil,Rosmarinus Officinalis (Rosemary) Leaf Oil,case_whitespace,v5
429,rubus idaeus (raspberry) leaf extract,Rubus Idaeus (Raspberry) Leaf Extract,case_whitespace,v5
430,saccharide isomerate,Saccharide Isomerate,case_whitespace,v5
431,saccharomyces lysate extract,Saccharomyces Lysate Extract,case_whitespace,v5
432,saccharomyces/copper ferment,Saccharomyces/Copper Ferment | Saccharomyces/copper Ferment,case_whitespace,v5
433,saccharomyces/iron ferment,Saccharomyces/Iron Ferment,case_whitespace,v5
434,saccharomyces/magnesium ferment,Saccharomyces/Magnesium Ferment | Saccharomyces/magnesium Ferment,case_whitespace,v5
435,saccharomyces/rice ferment filtrate,Saccharomyces/rice Ferment Filtrate,case_whitespace,v5
436,saccharomyces/silicon ferment,Saccharomyces/Silicon Ferment | Saccharomyces/silicon Ferment,case_whitespace,v5
437,saccharomyces/zinc ferment,Saccharomyces/Zinc Ferment,case_whitespace,v5
438,salicylic acid,SALICYLIC ACID,case_whitespace,v5
439,sambucus nigra flower extract,Sambucus Nigra Flower Extract,case_whitespace,v5
440,sambucus nigra fruit extract,Sambucus Nigra Fruit Extract,case_whitespace,v5
441,sanguisorba officinalis root extract,SANGUISORBA OFFICINALIS ROOT EXTRACT,case_whitespace,v5
442,santalum album (sandalwood) oil,Santalum Album (Sandalwood) Oil,case_whitespace,v5
443,sarcosine,SARCOSINE,case_whitespace,v5
444,sclerocarya birrea seed oil,Sclerocarya Birrea Seed Oil,case_whitespace,v5
445,sclerotium gum,Sclerotium Gum,case_whitespace,v5
446,scutellaria baicalensis root extract,SCUTELLARIA BAICALENSIS ROOT EXTRACT,case_whitespace,v5
447,serine,Serine,case_whitespace,v5
448,sesamum indicum (sesame) oil,Sesamum Indicum (Sesame) Oil,case_whitespace,v5
449,sesamum indicum (sesame) seed oil,Sesamum Indicum (Sesame) Seed Oil,case_whitespace,v5
450,sesamum indicum (sesame) seed powder,Sesamum Indicum (Sesame) Seed Powder,case_whitespace,v5
451,sh-oligopeptide-1,sh-Oligopeptide-1,case_whitespace,v5
452,sh-oligopeptide-2,sh-Oligopeptide-2,case_whitespace,v5
453,sh-polypeptide-1,sh-Polypeptide-1,case_whitespace,v5
454,sh-polypeptide-11,sh-Polypeptide-11,case_whitespace,v5
455,sh-polypeptide-9,sh-Polypeptide-9,case_whitespace,v5
456,silica,SILICA | Silica,case_whitespace,v5
457,simmondsia chinensis (jojoba) seed oil,Simmondsia Chinensis (Jojoba) Seed Oil,case_whitespace,v5
458,sodium acetylated hyaluronate,SODIUM ACETYLATED HYALURONATE | Sodium Acetylated Hyaluronate | sodium acetylated hyaluronate,case_whitespace,v5
459,sodium acrylates copolymer,Sodium Acrylates Copolymer,case_whitespace,v5
460,sodium benzoate,Sodium Benzoate | sodium benzoate,case_whitespace,v5
461,sodium carboxymethyl beta-glucan,sodium carboxymethyl beta-glucan,case_whitespace,v5
462,sodium chloride,SODIUM CHLORIDE | Sodium Chloride | sodium chloride,case_whitespace,v5
463,sodium citrate,SODIUM CITRATE | Sodium Citrate | sodium citrate,case_whitespace,v5
464,sodium gluconate,Sodium Gluconate,case_whitespace,v5
465,sodium hyaluronate,SODIUM HYALURONATE | Sodium Hyaluronate | sodium hyaluronate,case_whitespace,v5
466,sodium hyaluronate crosspolymer,Sodium Hyaluronate Crosspolymer,case_whitespace,v5
467,sodium hydroxide,SODIUM HYDROXIDE | Sodium Hydroxide | sodium hydroxide,case_whitespace,v5
468,sodium isostearate,sodium isostearate,case_whitespace,v5
469,sodium lactate,SODIUM LACTATE | Sodium Lactate,case_whitespace,v5
470,sodium lauroyl lactylate,SODIUM LAUROYL LACTYLATE | Sodium Lauroyl Lactylate,case_whitespace,v5
471,sodium metabisulfite,SODIUM METABISULFITE,case_whitespace,v5
472,sodium metaphosphate,SODIUM METAPHOSPHATE,case_whitespace,v5
473,sodium methyl stearoyl taurate,sodium methyl stearoyl taurate,case_whitespace,v5
474,sodium pca,Sodium PCA | Sodium Pca | sodium pca,case_whitespace,v5
475,sodium phytate,Sodium Phytate | sodium phytate,case_whitespace,v5
476,sodium polyacrylate,SODIUM POLYACRYLATE | Sodium Polyacrylate | sodium polyacrylate,case_whitespace,v5
477,sodium polyacrylate starch,Sodium Polyacrylate Starch,case_whitespace,v5
478,sodium polyacryloyldimethyl taurate,SODIUM POLYACRYLOYLDIMETHYL TAURATE,case_whitespace,v5
479,sodium stearoyl glutamate,Sodium Stearoyl Glutamate,case_whitespace,v5
480,solanum lycopersicum (tomato) seed oil,Solanum Lycopersicum (Tomato) Seed Oil,case_whitespace,v5
481,sorbic acid,Sorbic Acid,case_whitespace,v5
482,sorbitan isostearate,Sorbitan Isostearate,case_whitespace,v5
483,sorbitan oleate,Sorbitan Oleate,case_whitespace,v5
484,sorbitan olivate,SORBITAN OLIVATE | Sorbitan Olivate,case_whitespace,v5
485,sorbitan palmitate,Sorbitan Palmitate,case_whitespace,v5
486,sorbitan sesquioleate,SORBITAN SESQUIOLEATE,case_whitespace,v5
487,sorbitan stearate,sorbitan stearate,case_whitespace,v5
488,sorbitan tristearate,SORBITAN TRISTEARATE,case_whitespace,v5
489,spinacia oleracea leaf extract,SPINACIA OLERACEA/SPINACH LEAF EXTRACT,alias,v5
490,squalane,SQUALANE | Squalane | squalane,case_whitespace,v5
491,squalene,Squalene,case_whitespace,v5
492,stearalkonium hectorite,STEARALKONIUM HECTORITE,case_whitespace,v5
493,stearic acid,STEARIC ACID | Stearic Acid,case_whitespace,v5
494,stearyl alcohol,STEARYL ALCOHOL | Stearyl Alcohol | stearyl alcohol,case_whitespace,v5
495,stearyl heptanoate,STEARYL HEPTANOATE,case_whitespace,v5
496,stellaria media (chickweed) extract,Stellaria Media (Chickweed) Extract,case_whitespace,v5
497,succinic acid,succinic acid,case_whitespace,v5
498,sucrose stearate,Sucrose Stearate,case_whitespace,v5
499,symphytum officinale callus culture extract,Symphytum Officinale Callus Culture Extract,case_whitespace,v5
500,synthetic beeswax,Synthetic Beeswax,case_whitespace,v5
501,synthetic wax,SYNTHETIC WAX,case_whitespace,v5
502,t-butyl alcohol,T-butyl Alcohol,case_whitespace,v5
503,teprenone,Teprenone,case_whitespace,v5
504,tetrasodium edta,Tetrasodium EDTA,case_whitespace,v5
505,tetrasodium glutamate diacetate,TETRASODIUM GLUTAMATE DIACETATE,case_whitespace,v5
506,threonine,Threonine,case_whitespace,v5
507,titanium dioxide,TITANIUM DIOXIDE | Titanium Dioxide,case_whitespace,v5
508,titanium dioxide (ci 77891),TITANIUM DIOXIDE (CI 77891),case_whitespace,v5
509,tocopherol,TOCOPHEROL | Tocopherol | tocopherol,case_whitespace,v5
510,tocopheryl acetate,Tocopheryl Acetate,case_whitespace,v5
511,tocopheryl succinate,Tocopheryl Succinate,case_whitespace,v5
512,trehalose,TREHALOSE | Trehalose | trehalose,case_whitespace,v5
513,triacetin,Triacetin | triacetin,case_whitespace,v5
514,tribehenin,tribehenin,case_whitespace,v5
515,tridecane,Tridecane,case_whitespace,v5
516,tridecyl trimellitate,Tridecyl Trimellitate,case_whitespace,v5
517,triethanolamine,Triethanolamine,case_whitespace,v5
518,triethyl citrate,triethyl citrate,case_whitespace,v5
519,triethylhexanoin,Triethylhexanoin | triethylhexanoin,case_whitespace,v5
520,triheptanoin,triheptanoin,case_whitespace,v5
521,trihydroxystearin,TRIHYDROXYSTEARIN,case_whitespace,v5
522,triolein,Triolein,case_whitespace,v5
523,tripeptide-3,Tripeptide-3,case_whitespace,v5
524,trisiloxane,trisiloxane,case_whitespace,v5
525,trisodium edta,TRISODIUM EDTA | Trisodium Edta,case_whitespace,v5
526,trisodium ethylenediamine disuccinate,TRISODIUM ETHYLENEDIAMINE DISUCCINATE | Trisodium Ethylenediamine Disuccinate,case_whitespace,v5
527,triticum vulgare (wheat) germ oil,Triticum Vulgare (Wheat) Germ Oil,case_whitespace,v5
528,tromethamine,TROMETHAMINE | Tromethamine,case_whitespace,v5
529,tropolone,TROPOLONE,case_whitespace,v5
530,tyrosine,Tyrosine,case_whitespace,v5
531,undaria pinnatifida extract,Undaria Pinnatifida Extract,case_whitespace,v5
532,undecane,Undecane,case_whitespace,v5
533,urea,Urea | urea,case_whitespace,v5
534,urtica dioica (nettle) leaf extract,Urtica Dioica (Nettle) Leaf Extract,case_whitespace,v5
535,vaccinium macrocarpon (cranberry) seed oil,Vaccinium Macrocarpon (Cranberry) Seed Oil,case_whitespace,v5
536,valine,Valine,case_whitespace,v5
537,vegetable oil,Vegetable Oil,case_whitespace,v5
538,vegetable oil (olus oil) (huile végétale),Vegetable Oil (Olus Oil) (Huile végétale),case_whitespace,v5
539,violet 2 (ci 60725),Violet 2 (Ci 60725),case_whitespace,v5
540,vitis vinifera (grape) fruit water,vitis vinifera (grape) fruit water,case_whitespace,v5
541,vitis vinifera (grape) juice,vitis vinifera (grape) juice,case_whitespace,v5
542,vitreoscilla ferment,VITREOSCILLA FERMENT,case_whitespace,v5
543,water,"AQUA (WATER) | AQUA (WATER, EAU) | AQUA / WATER | AQUA / WATER / EAU | AQUA/WATER/EAU | Aqua | Aqua (Water) | Aqua/Water/Eau | Aqua/water/eau | Purified Water | WATER | WATER (AQUA) | WATER(AQUA/EAU) | Water | Water (Aqua / Eau) | Water (Aqua) | Water (Aqua) (Eau) | Water/Aqua/Eau | Water/Eau | Water/aqua/eau | Water\Aqua\Eau | aqua/water/eau | water | water/aqua | water/aqua/eau",alias,v5
544,xanthan gum,XANTHAN GUM | Xanthamgum | Xanthan Gum | xanthan gum,alias | case_whitespace,v5
545,xylitol,Xylitol,case_whitespace,v5
546,xylitylglucoside,Xylitylglucoside,case_whitespace,v5
547,yeast extract,Yeast Extract,case_whitespace,v5
548,yellow 5 (ci 19140),Yellow 5 (Ci 19140),case_whitespace,v5
549,yellow 6 (ci 15985),Yellow 6 (Ci 15985),case_whitespace,v5
550,zea mays (corn) oil,Zea Mays (Corn) Oil,case_whitespace,v5
551,zea mays (corn) starch,ZEA MAYS (CORN) STARCH,case_whitespace,v5
552,zea mays starch,ZEA MAYS STARCH / CORN STARCH,alias,v5
553,zinc gluconate,ZINC GLUCONATE | Zinc Gluconate,case_whitespace,v5
554,zinc hydrolyzed hyaluronate,Zinc Hydrolyzed Hyaluronate,case_whitespace,v5
555,ziziphus jujuba fruit extract,ZIZIPHUS JUJUBA FRUIT EXTRACT,case_whitespace,v5
